name,time,co2
co2_tuning,1681332364844802081,1050
co2_tuning,1681332395200949775,1014
co2_tuning,1681332425089344128,921
co2_tuning,1681332455219206466,926
co2_tuning,1681332485065539624,971
co2_tuning,1681332515241477331,1055
co2_tuning,1681332545132306285,1057
co2_tuning,1681332575279127931,1033
co2_tuning,1681332605060246662,973
co2_tuning,1681332635257713058,897
co2_tuning,1681332664933100493,944
co2_tuning,1681332694826719861,1023
co2_tuning,1681332724925666206,1038
co2_tuning,1681332755275462903,1004
co2_tuning,1681332784934050079,942
co2_tuning,1681332815063474676,912
co2_tuning,1681332845187857049,968
co2_tuning,1681332875350682884,1031
co2_tuning,1681332905098990247,1025
co2_tuning,1681332935281230187,1019
co2_tuning,1681332965100131261,918
co2_tuning,1681332995242769460,916
co2_tuning,1681333025000816202,994
co2_tuning,1681333055295873895,1016
co2_tuning,1681333084991720880,1011
co2_tuning,1681333115320856453,962
co2_tuning,1681333145076659137,942
co2_tuning,1681333175340168925,972
co2_tuning,1681333205260431791,998
co2_tuning,1681333235300866714,984
co2_tuning,1681333265010396172,945
co2_tuning,1681333295201170992,994
co2_tuning,1681333325268014436,1069
co2_tuning,1681333355355832505,1022
co2_tuning,1681333385423147971,962
co2_tuning,1681333415341183418,917
co2_tuning,1681333445081381174,1005
co2_tuning,1681333475381352137,1060
co2_tuning,1681333505272435576,1002
co2_tuning,1681333535355716204,891
co2_tuning,1681333565252159584,925
co2_tuning,1681333595466636617,1093
co2_tuning,1681333625278370691,1106
co2_tuning,1681333655088585600,1098
co2_tuning,1681333685254550662,964
co2_tuning,1681333715114661438,973
co2_tuning,1681333744844341185,948
co2_tuning,1681333775506387484,1012
co2_tuning,1681333805111319637,1002
co2_tuning,1681333835068203875,929
co2_tuning,1681333865074808255,968
co2_tuning,1681333895114154358,1027
co2_tuning,1681333925129084462,1030
co2_tuning,1681333955321962061,954
co2_tuning,1681333985282347685,934
co2_tuning,1681334015527314164,972
co2_tuning,1681334045295840559,1061
co2_tuning,1681334075167016495,1045
co2_tuning,1681334105317979855,1034
co2_tuning,1681334135227661211,955
co2_tuning,1681334165353173658,897
co2_tuning,1681334195108553370,1029
co2_tuning,1681334225351366525,1059
co2_tuning,1681334255112021307,1039
co2_tuning,1681334285314567713,953
co2_tuning,1681334315139106908,934
co2_tuning,1681334345297862360,980
co2_tuning,1681334375137561373,1037
co2_tuning,1681334405106112554,1061
co2_tuning,1681334435011285591,986
co2_tuning,1681334465345269275,936
co2_tuning,1681334495149641920,953
co2_tuning,1681334525385899541,1049
co2_tuning,1681334555249269359,1055
co2_tuning,1681334585131534728,1027
