name,time,co2
co2_tuning,1681327264873292426,1064
co2_tuning,1681327294798611277,1015
co2_tuning,1681327324829693850,925
co2_tuning,1681327354812095681,950
co2_tuning,1681327385077169976,1135
co2_tuning,1681327414812701039,1177
co2_tuning,1681327445021163627,1141
co2_tuning,1681327474568743455,1074
co2_tuning,1681327505001476845,969
co2_tuning,1681327534799673376,883
co2_tuning,1681327565017175346,849
co2_tuning,1681327594842340758,763
co2_tuning,1681327624821802002,739
co2_tuning,1681327654767465010,724
co2_tuning,1681327685017830676,707
co2_tuning,1681327714824717395,730
co2_tuning,1681327744781420928,674
co2_tuning,1681327774570264674,678
co2_tuning,1681327804795406670,695
co2_tuning,1681327834564696316,745
co2_tuning,1681327864796853379,863
co2_tuning,1681327894930225467,1089
co2_tuning,1681327924877700299,1115
co2_tuning,1681327954884128572,1070
co2_tuning,1681327984778132354,981
co2_tuning,1681328014784849310,943
co2_tuning,1681328045051205069,934
co2_tuning,1681328074860957285,1072
co2_tuning,1681328105077972155,1084
co2_tuning,1681328134981905726,1005
co2_tuning,1681328165083799862,935
co2_tuning,1681328194983892917,923
co2_tuning,1681328224850130657,1041
co2_tuning,1681328254827218351,1148
co2_tuning,1681328284891896803,1077
co2_tuning,1681328314826223190,1037
co2_tuning,1681328344604786493,992
co2_tuning,1681328374876615230,926
co2_tuning,1681328404631591322,1004
co2_tuning,1681328434856943168,1067
co2_tuning,1681328464817001339,1018
co2_tuning,1681328494826871227,927
co2_tuning,1681328524852323466,921
co2_tuning,1681328554653249773,1030
co2_tuning,1681328584836137951,1056
co2_tuning,1681328614889261570,1096
co2_tuning,1681328644837184192,1010
co2_tuning,1681328674861077531,912
co2_tuning,1681328704882252448,930
co2_tuning,1681328734877617246,1053
co2_tuning,1681328764852615195,1069
co2_tuning,1681328794616978645,1051
co2_tuning,1681328824900429332,1021
co2_tuning,1681328854888803505,921
co2_tuning,1681328884984451574,937
co2_tuning,1681328914867927616,1092
co2_tuning,1681328944858857202,1145
co2_tuning,1681328974893189915,1084
co2_tuning,1681329004670444497,1024
co2_tuning,1681329034623044927,958
co2_tuning,1681329064866792213,939
co2_tuning,1681329094638077756,1070
co2_tuning,1681329124933382291,1120
co2_tuning,1681329154637263186,1070
co2_tuning,1681329184859018992,1001
co2_tuning,1681329214875581131,941
co2_tuning,1681329244638735400,950
co2_tuning,1681329275114073469,1132
co2_tuning,1681329304986078977,1175
co2_tuning,1681329335093840623,1129
co2_tuning,1681329364993847800,1017
co2_tuning,1681329395108617794,944
co2_tuning,1681329424928285750,918
co2_tuning,1681329455107987803,1170
co2_tuning,1681329484999058298,1198
co2_tuning,1681329515128965566,1098
co2_tuning,1681329544860731467,1028
co2_tuning,1681329575156318521,971
co2_tuning,1681329605039437329,997
co2_tuning,1681329634905005827,1070
co2_tuning,1681329664728221171,1076
co2_tuning,1681329695123651572,1005
co2_tuning,1681329725022651531,936
co2_tuning,1681329754815381044,962
co2_tuning,1681329785138267505,1074
co2_tuning,1681329815165904410,1154
co2_tuning,1681329845153884162,1113
co2_tuning,1681329874918186155,1091
co2_tuning,1681329905181222339,933
co2_tuning,1681329935146637260,934
co2_tuning,1681329964982907891,1089
co2_tuning,1681329994675169798,1115
co2_tuning,1681330024679355051,1144
co2_tuning,1681330055176377567,1082
co2_tuning,1681330084938748420,930
co2_tuning,1681330115176815527,850
co2_tuning,1681330145157432305,815
co2_tuning,1681330175204662758,781
co2_tuning,1681330205092129396,768
co2_tuning,1681330234893537792,741
co2_tuning,1681330265190396273,698
co2_tuning,1681330294891142906,680
co2_tuning,1681330325217085699,660
co2_tuning,1681330355200485319,662
co2_tuning,1681330385218973045,663
co2_tuning,1681330415188591065,660
co2_tuning,1681330445203689084,646
co2_tuning,1681330474959483166,646
co2_tuning,1681330505231674105,620
co2_tuning,1681330534949302813,642
co2_tuning,1681330565105361565,664
co2_tuning,1681330595220015112,628
co2_tuning,1681330625239016164,629
co2_tuning,1681330654933623343,657
co2_tuning,1681330684945855050,642
