name,time,co2,humidity,temperature,vpd
SnifferBuddy_Readings,1694021076540092239,789,62.6419,81.698,0.97
SnifferBuddy_Readings,1694021081589875245,788,62.8204,81.698,0.96
SnifferBuddy_Readings,1694021086612398756,788,62.8418,81.77,0.96
SnifferBuddy_Readings,1694021091636230440,788,62.8311,81.752,0.97
SnifferBuddy_Readings,1694021096659386981,788,62.8387,81.77,0.97
SnifferBuddy_Readings,1694021101675150245,789,62.944,81.806,0.96
SnifferBuddy_Readings,1694021106691381035,788,63.028,81.824,0.96
SnifferBuddy_Readings,1694021111714574633,788,63.1165,81.86,0.96
SnifferBuddy_Readings,1694021116737974516,788,63.1195,81.842,0.96
SnifferBuddy_Readings,1694021121763599093,788,63.1165,81.86,0.96
SnifferBuddy_Readings,1694021126787940196,789,63.1088,81.842,0.96
SnifferBuddy_Readings,1694021131811732954,789,63.2813,81.86,0.95
SnifferBuddy_Readings,1694021136839501761,788,63.3392,81.896,0.95
SnifferBuddy_Readings,1694021141861042275,788,63.3636,81.932,0.95
SnifferBuddy_Readings,1694021146880423631,787,63.2813,81.896,0.95
SnifferBuddy_Readings,1694021151901208292,788,63.2675,81.932,0.95
SnifferBuddy_Readings,1694021156920758685,789,63.2523,81.932,0.95
SnifferBuddy_Readings,1694021161941373977,789,63.1912,81.968,0.96
SnifferBuddy_Readings,1694021166957959425,790,63.1668,81.986,0.96
SnifferBuddy_Readings,1694021171974557457,790,63.1424,81.968,0.96
SnifferBuddy_Readings,1694021177002385414,789,62.9807,81.968,0.97
SnifferBuddy_Readings,1694021182020350579,790,63.031,81.95,0.96
SnifferBuddy_Readings,1694021187038300367,789,62.973,81.95,0.97
SnifferBuddy_Readings,1694021192057558629,789,62.9089,81.95,0.97
SnifferBuddy_Readings,1694021197082306795,788,62.854,81.986,0.97
SnifferBuddy_Readings,1694021202103916564,788,62.9578,81.968,0.97
SnifferBuddy_Readings,1694021207124176733,789,63.1271,81.986,0.96
SnifferBuddy_Readings,1694021212148369416,789,63.1409,82.004,0.96
SnifferBuddy_Readings,1694021217174692928,788,63.0966,81.932,0.96
SnifferBuddy_Readings,1694021222197628154,789,63.0844,81.986,0.96
SnifferBuddy_Readings,1694021227224589618,789,63.0814,81.986,0.96
SnifferBuddy_Readings,1694021232246860648,789,63.1256,81.95,0.96
SnifferBuddy_Readings,1694021237267871061,789,63.2141,81.986,0.96
SnifferBuddy_Readings,1694021242280104687,789,63.1607,82.004,0.96
SnifferBuddy_Readings,1694021247298522756,788,63.1287,82.058,0.96
