Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address           Foreign Address         State      
tcp        0      0 localhost:32821         0.0.0.0:*               LISTEN     
tcp        0      0 localhost:redis         0.0.0.0:*               LISTEN     
tcp        0      0 localhost:postgresql    0.0.0.0:*               LISTEN     
tcp        0      0 localhost:38683         0.0.0.0:*               LISTEN     
tcp        0      0 0.0.0.0:ssh             0.0.0.0:*               LISTEN     
tcp        0      0 localhost:3001          0.0.0.0:*               LISTEN     
tcp        0      0 localhost:4000          0.0.0.0:*               LISTEN     
tcp        0      0 0.0.0.0:http            0.0.0.0:*               LISTEN     
tcp        0      0 localhost:omniorb       0.0.0.0:*               LISTEN     
tcp        0      0 localhost:41124         localhost:redis         ESTABLISHED
tcp        0      0 localhost:40922         localhost:redis         ESTABLISHED
tcp        0      0 localhost:41074         localhost:redis         ESTABLISHED
tcp        0      0 localhost:40926         localhost:redis         ESTABLISHED
tcp        0      0 localhost:40950         localhost:redis         ESTABLISHED
tcp        0      0 localhost:redis         localhost:41084         ESTABLISHED
tcp        0      0 localhost:40978         localhost:redis         ESTABLISHED
tcp        0      0 localhost:40906         localhost:redis         ESTABLISHED
tcp        0      0 localhost:redis         localhost:40922         ESTABLISHED
tcp        0      0 localhost:redis         localhost:41108         ESTABLISHED
tcp        0      0 localhost:redis         localhost:44432         ESTABLISHED
tcp        0      0 localhost:redis         localhost:41038         ESTABLISHED
tcp        0      0 localhost:57730         localhost:32821         ESTABLISHED
tcp        0      0 localhost:44434         localhost:redis         ESTABLISHED
tcp        0      0 localhost:41158         localhost:redis         ESTABLISHED
tcp        0      0 localhost:40954         localhost:redis         ESTABLISHED
tcp        0      0 localhost:40994         localhost:redis         ESTABLISHED
tcp        0     68 gus.lan:ssh             laptop-4htfeslt.l:50537 ESTABLISHED
tcp        0      0 localhost:redis         localhost:41158         ESTABLISHED
tcp        0      0 localhost:redis         localhost:40994         ESTABLISHED
tcp        0      0 localhost:redis         localhost:41022         ESTABLISHED
tcp        0      0 localhost:redis         localhost:40978         ESTABLISHED
tcp        0      0 localhost:redis         localhost:41052         ESTABLISHED
tcp        0      0 localhost:40936         localhost:redis         ESTABLISHED
tcp        0      0 localhost:redis         localhost:41060         ESTABLISHED
tcp        0      0 localhost:41108         localhost:redis         ESTABLISHED
tcp        0      0 localhost:41140         localhost:redis         ESTABLISHED
tcp        0      0 localhost:redis         localhost:58144         ESTABLISHED
tcp        0      0 localhost:41022         localhost:redis         ESTABLISHED
tcp        0      0 localhost:redis         localhost:40998         ESTABLISHED
tcp        0      0 gus.lan:ssh             laptop-4htfeslt.l:49912 ESTABLISHED
tcp        0      0 localhost:41004         localhost:redis         ESTABLISHED
tcp        0      0 localhost:redis         localhost:40926         ESTABLISHED
tcp        0      0 localhost:redis         localhost:41094         ESTABLISHED
tcp        0      0 localhost:57718         localhost:32821         ESTABLISHED
tcp        0      0 localhost:58144         localhost:redis         ESTABLISHED
tcp        0      0 localhost:redis         localhost:44434         ESTABLISHED
tcp        0      0 localhost:41012         localhost:redis         ESTABLISHED
tcp        0      0 localhost:redis         localhost:41018         ESTABLISHED
tcp        0      0 localhost:41038         localhost:redis         ESTABLISHED
tcp        0      0 localhost:32821         localhost:57730         ESTABLISHED
tcp        0      0 localhost:redis         localhost:40956         ESTABLISHED
tcp        0      0 localhost:41052         localhost:redis         ESTABLISHED
tcp        0      0 localhost:redis         localhost:41074         ESTABLISHED
tcp        0      0 localhost:redis         localhost:41140         ESTABLISHED
tcp        0      0 localhost:41084         localhost:redis         ESTABLISHED
tcp        0      0 localhost:redis         localhost:41012         ESTABLISHED
tcp        0      0 gus.lan:35456           193.177.120.34.bc:https TIME_WAIT  
tcp        0      0 localhost:41094         localhost:redis         ESTABLISHED
tcp        0      0 localhost:44432         localhost:redis         ESTABLISHED
tcp        0      0 localhost:41142         localhost:redis         ESTABLISHED
tcp        0      0 localhost:40970         localhost:redis         ESTABLISHED
tcp        0      0 localhost:redis         localhost:41142         ESTABLISHED
tcp        0      0 localhost:41018         localhost:redis         ESTABLISHED
tcp        0      0 localhost:41060         localhost:redis         ESTABLISHED
tcp        0      0 localhost:40998         localhost:redis         ESTABLISHED
tcp        0      0 localhost:redis         localhost:40954         ESTABLISHED
tcp        0      0 localhost:redis         localhost:41124         ESTABLISHED
tcp        0      0 localhost:redis         localhost:40950         ESTABLISHED
tcp        0      0 localhost:redis         localhost:41004         ESTABLISHED
tcp        0      0 localhost:32821         localhost:57718         ESTABLISHED
tcp        0      0 localhost:40956         localhost:redis         ESTABLISHED
tcp        0      0 localhost:redis         localhost:40970         ESTABLISHED
tcp        0      0 localhost:redis         localhost:40906         ESTABLISHED
tcp        0      0 localhost:redis         localhost:40936         ESTABLISHED
tcp6       0      0 [::]:3000               [::]:*                  LISTEN     
tcp6       0      0 [::]:8086               [::]:*                  LISTEN     
tcp6       0      0 localhost:postgresql    [::]:*                  LISTEN     
tcp6       0      0 [::]:ftp                [::]:*                  LISTEN     
tcp6       0      0 [::]:ssh                [::]:*                  LISTEN     
tcp6       0      0 [::]:http               [::]:*                  LISTEN     
tcp6       0      0 localhost:redis         [::]:*                  LISTEN     
tcp6       0      0 localhost:50992         localhost:redis         ESTABLISHED
tcp6       0      0 localhost:51008         localhost:redis         ESTABLISHED
tcp6       0      0 localhost:redis         localhost:51008         ESTABLISHED
tcp6       0      0 localhost:redis         localhost:50992         ESTABLISHED
